team,status
Golden State Warriors,79.3
Houston Rockets,76.9
Miami Heat,76.6
Oklahoma City Thunder,76.5
Los Angeles Lakers,76.4
Boston Celtics,76.2
Philadelphia 76ers,76.2
Toronto Raptors,76.2
Dallas Mavericks,76.0
Denver Nuggets,75.9
San Antonio Spurs,75.8
Milwaukee Bucks,75.7
Minnesota Timberwolves,75.6
Charlotte Hornets,75.5
New Orleans Pelicans,75.5
Utah Jazz,75.4
Brooklyn Nets,75.3
Phoenix Suns,75.2
Sacramento Kings,75.2
Washington Wizards,75.2
Memphis Grizzlies,75.0
Portland Trail Blazers,75.0
Los Angeles Clippers,74.7
Indiana Pacers,74.5
Detroit Pistons,74.4
Cleveland Cavaliers,74.2
Orlando Magic,74.2
Chicago Bulls,73.4
Atlanta Hawks,72.9
New York Knicks,72.